"Zeitstempel","Bitte bestätigen Sie, dass Sie die Informationen gelesen haben und mit der Teilnahme sowie der anonymen Auswertung Ihrer Antworten einverstanden sind.","Welches Geschlecht haben Sie?","Wie alt sind Sie?","In welchem Land leben Sie derzeit?","Was ist Ihr höchster Bildungsabschluss?","Was ist Ihr derzeitiger beruflicher Status?","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist akkurat (präzise).]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist vollständig.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist sachkundig (kompetent).]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist ehrlich.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist vertrauenswürdig.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist zuverlässig.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist klar.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist nicht verwirrend.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist verständlich.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung ist interessant.]","Wie gut beschreiben die folgenden Eigenschaften die gezeigte Werbung?
(Skala von 1 = beschreibt sehr schlecht bis 5 = beschreibt sehr gut) [Die Werbung hält meine Aufmerksamkeit.]","Wie bewerten Sie den Einsatz von Künstlicher Intelligenz in der Werbung allgemein?"
"2025/05/20 11:29:35 AM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","55–64 Jahre","Deutschland","Berufsausbildung / Lehre","Angestellte/r","neutral","beschreibt gut","beschreibt sehr schlecht","beschreibt sehr gut","beschreibt schlecht","neutral","beschreibt gut","beschreibt sehr gut","beschreibt sehr gut","neutral","neutral","Neutral"
"2025/05/20 3:14:25 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt gut","beschreibt sehr gut","neutral","beschreibt gut","beschreibt gut","neutral","beschreibt gut","beschreibt schlecht","beschreibt gut","neutral","beschreibt schlecht","Eher positiv"
"2025/05/20 3:14:53 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt gut","neutral","beschreibt gut","neutral","beschreibt sehr schlecht","beschreibt sehr schlecht","beschreibt gut","neutral","beschreibt gut","neutral","beschreibt sehr schlecht","Eher positiv"
"2025/05/20 3:24:04 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","45–54 Jahre","Deutschland","Masterabschluss","Selbstständig","beschreibt gut","neutral","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","beschreibt gut","beschreibt gut","beschreibt gut","beschreibt schlecht","beschreibt schlecht","Neutral"
"2025/05/20 4:08:07 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","55–64 Jahre","Deutschland","Berufsausbildung / Lehre","Angestellte/r","beschreibt gut","beschreibt schlecht","beschreibt schlecht","beschreibt gut","beschreibt gut","beschreibt gut","beschreibt sehr gut","beschreibt gut","beschreibt gut","beschreibt gut","beschreibt gut","Eher positiv"
"2025/05/20 5:00:20 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","neutral","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt sehr schlecht","beschreibt sehr schlecht","neutral","beschreibt gut","beschreibt gut","beschreibt schlecht","beschreibt schlecht","Neutral"
"2025/05/20 5:09:10 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","beschreibt gut","neutral","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt schlecht","beschreibt sehr gut","beschreibt sehr gut","beschreibt gut","neutral","beschreibt schlecht","Neutral"
"2025/05/20 5:42:30 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Männlich","18–24 Jahre","Deutschland","(Fach-)Abitur / Matura","Student/in","neutral","neutral","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","beschreibt schlecht","beschreibt schlecht","neutral","beschreibt schlecht","beschreibt sehr schlecht","beschreibt schlecht","Eher positiv"
"2025/05/20 7:27:23 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","45–54 Jahre","Deutschland","Masterabschluss","Angestellte/r","beschreibt gut","beschreibt gut","neutral","neutral","beschreibt schlecht","beschreibt schlecht","beschreibt gut","beschreibt gut","beschreibt gut","beschreibt schlecht","beschreibt schlecht","Eher positiv"
"2025/05/20 10:02:50 PM OESZ","Ja, ich stimme der Teilnahme und der Verwendung meiner anonymen Daten zu.","Weiblich","65 Jahre oder älter","Deutschland","Mittlere Reife / Realschulabschluss","Rentner","neutral","neutral","neutral","neutral","beschreibt schlecht","neutral","neutral","neutral","neutral","neutral","neutral","Neutral"
